TITLE,CATEGORY,TYPE,MEDIUM,FRAME,PHOTO URL LINK,ARTIST,CONTRACTOR,FOUNDER,ARCHITECT,CARVER,DESIGNER,DATE,OBJECT HEIGHT (IN),OBJECT WIDTH (IN),OBJECT DEPTH (IN),OBJECT DIAMETER (IN),BASE HEIGHT (IN),BASE WIDTH (IN),BASE DEPTH (IN),BASE DIAMETER (IN),PLAQUE INSCRIPTION,SITE,STREET ADDRESS,CITY,ZIP CODE,STATE,LATITUDE,LONGITUDE,LOCATION,nbhdname,objectid
BAROMETER,DECORATIVE OBJECTS,BAROMETER,WOOD AND GLASS,false,UNKNOWN,J HULLEMERURCH,,,,,,,,,,,,,,,,502 CITY HALL,65 NIAGARA SQUARE,BUFFALO,"14202",NY,42.886641,-78.879354,"(42.886641, -78.879354)",Central,1.0000000000000000000000000000000
COUNCIL PRESIDENT WILLIAM P FISHER,PAINTINGS,PORTRAIT,OIL ON CANVAS,true,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/WILLIAM%20FISHER.HTML,CHARLES ODDO,,,,,,01/01/1944 12:00:00 AM,21.125,18.0625,,,,,,,,COUNCIL CHAMBER CITY HALL,65 NIAGARA SQUARE,BUFFALO,"14202",NY,42.886641,-78.879354,"(42.886641, -78.879354)",Central,1.0000000000000000000000000000000
MCMILLAN FOUNTAIN,DECORATIVE OBJECTS,FOUNTAIN,GRANITE,false,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/MCMILLAN%20FOUNTAIN.HTML,UNKNOWN,,,,,,09/12/1905 12:00:00 AM,120,60,72.996,,,,,,,DELAWARE PARK,MEADOW DRIVE,BUFFALO,"14216",NY,42.933718,-78.872928,"(42.933718, -78.872928)",Parkside,13.0000000000000000000000000000000
DELAWARE PARK PLAQUE I,DECORATIVE OBJECTS,PLAQUE,BRONZE,false,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/DELAWARE%20PARK%20I.HTML,UNKNOWN,,,,,,,21,30,,,30,36,"30",,"DELAWARE PARK WAS DESIGNED BY FREDERICK LAW OLMSTED AND CALVERT VAUX AS THE PRINCIPAL PUBLIC PARK WITHIN AN OVERALL SYSTEM OF PARKS, PARKWAYS AND PUBLIC SPACES PLANNED FOR THE CITY OF BUFFALO BETWEEN 1868 & 1898. THE PARK SYSTEM ALSO INCLUDED THE ""PARADE"" (NOW MARTIN LUTHER KING PARK), FRONT, RIVERSIDE, CAZENOVIA AND SOUTH PARKS IN ADDITION TO THE SYSTEM OF CONNECTING PARKWAYS. THESE PARKS AND PARKWAYS ARE LISTED ON THE NATIONAL REGISTER OF HISTORIC PLACES.",DELAWARE PARK,MEADOW DRIVE,BUFFALO,"14216",NY,42.933451,-78.869458,"(42.933451, -78.869458)",Parkside,13.0000000000000000000000000000000
JOHNSON PARK,DECORATIVE OBJECTS,PLAQUE,BRONZE,false,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/JOHNSON%20PARK%20PLAQUE.HTML,UNKNOWN,,,,,,,,,,,,,,,"IN HONOR OF DR. EBENEZER JOHNSON, FIRST MAYOR OF BUFFALO, 1832 - SESQUICENTENNIAL - 1982. DEDICATED BY STUDENTS OF HUTCH - TECH H.S. MAY 1982.",JOHNSON PARK,JOHNSON PARK,BUFFALO,"14201",NY,42.892726,-78.878924,"(42.892726, -78.878924)",Lower West Side,2.0000000000000000000000000000000
MAYOR CHANDLER J WELLS,PAINTINGS,PORTRAIT,OIL ON CANVAS,true,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/CHANDLER%20WELLS.HTML,ALVAH BRADISH,,,,,,,35.5,30,,,,,,,,2ND FLOOR STORAGE CITY HALL,65 NIAGARA SQUARE,BUFFALO,"14202",NY,42.886641,-78.879354,"(42.886641, -78.879354)",Central,1.0000000000000000000000000000000
SESQUICENTENNIAL TIME CAPSULE,DECORATIVE OBJECTS,TIME CAPSULE,MIXED MEDIA IN GRANITE,false,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/SESQUICENTENNIAL%20TIME%20CAPSULE.HTML,UNKNOWN,,,,,,01/01/1982 12:00:00 AM,36,93,39,,6,105,"51",,"SESQUICENTENNIAL TIME CAPSULE, 1832 - 1982",BUFFALO CITY COURT BUILDING,50 DELAWARE AVE,BUFFALO,"14202",NY,42.885709,-78.87959,"(42.885709, -78.87959)",Central,1.0000000000000000000000000000000
ISOCHRONIC MOUNTAIN BUFFALO,SCULPTURE,FIGURATIVE,CERAMIC,false,UNKNOWN,JOSHUA G STEIN,,,,,,06/04/2019 12:00:00 AM,,,,,,,,,,28TH FLOOR CITY HALL,65 NIAGARA SQUARE,BUFFALO,"14202",NY,42.886641,-78.879354,"(42.886641, -78.879354)",Central,1.0000000000000000000000000000000
WWII VETERANS MEMORIAL,SCULPTURE,RELIEF,GRANITE,false,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/WWII%20VETERANS%20MEMORIAL.HTML,UNKNOWN,,,,,,01/01/1947 12:00:00 AM,120,120,96,,,,,,"TO HONOR THE MEN AND WOMEN OF THIS COMMUNITY WHO SERVED OUR COUNTRY IN THE SECOND WORLD WAR, 1941-1945. ERECTED BY THE E. CLINTON COMMUNITY SOLDIERS FUND COMMITTEE.",HOUGHTON-STACHOWSKI PARK,CLINTON ST,BUFFALO,"14206",NY,42.871691,-78.813918,"(42.871691, -78.813918)",Kaisertown,32.0000000000000000000000000000000
CITY HALL FRIEZE WEST,SCULPTURE,RELIEF,STONE,false,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/CITY%20HALL%20FRIEZE%20WEST.HTML,ALBERT STEWART,,,,,,01/01/1931 12:00:00 AM,144,1200,,,,,,,,CITY HALL,65 NIAGARA SQUARE,BUFFALO,"14202",NY,42.886641,-78.879354,"(42.886641, -78.879354)",Central,1.0000000000000000000000000000000
JESSE CLIPPER MEMORIAL,SCULPTURE,RELIEF,GRANITE,false,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/JESSE%20CLIPPER%20MEMORIAL.HTML,UNKNOWN,,,,,,04/24/1938 12:00:00 AM,57,33,15,,12,48,"27",,"IN MEMORY OF THE VALIANT SERVICE OF NEGROES IN ALL WARS OF THESE UNITED STATES OF AMERICA TO THE GLORY OF GOD - WWII, KOREA, VIETNAM. 1776, 1812, 1861, 1898, 1917, 1941, 1950, 1966.",WILLERT PARK,MICHIGAN AVE,BUFFALO,"14203",NY,42.884904,-78.867877,"(42.884904, -78.867877)",Pratt-Willert,29.0000000000000000000000000000000
CITY SEAL,DECORATIVE OBJECTS,PLAQUE,BRONZE ON WOOD,false,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,"14202",NY,42.886641,-78.879354,"(42.886641, -78.879354)",Central,1.0000000000000000000000000000000
CIVIL WAR CANNONS,DECORATIVE OBJECTS,CANNONS,CAST IRON,false,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/CIVIL%20WAR%20CANNONS.HTML,UNKNOWN,,,,,,01/01/1864 12:00:00 AM,48,24,84,,,,,,,DELAWARE LABOR CENTER,17 MEADOWVIEW PLACE,BUFFALO,"14214",NY,39.615782,-75.750487,"(39.615782, -75.750487)",,
WORLD WAR II EAGLE,SCULPTURE,FIGURATIVE,BRONZE,false,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/WWII%20EAGLE.HTML,J BIANCHI AND SON INCORPORATED,,,,,J BIANCHI AND SON INCORPORATED,01/01/1947 12:00:00 AM,36,15,18,,120,72,"60",,"IN HONOR OF THE BRAVE MEN AND WOMEN OF THIS CITY WHO LOYALLY SERVED THEIR COUNTRY IN WWII, KOREAN WAR, VIETNAM WAR. DEDICATED AND ERECTED BY THE FEDERATION OF ITALIAN-AMERICAN SOCIETIES OF BUFFALO, NEW YORK."" THE LOWEST INSCRIPTION READS: ""ITALIAN-AMERICAN VETERANS SQUARE REDEDICATED JUNE 20, 1981.",STREET TRIANGLE MEDIAN,W MOHAWK ST & S ELMWOOD AVE,BUFFALO,"14202",NY,42.88805,-78.879472,"(42.88805, -78.879472)",Lower West Side,2.0000000000000000000000000000000
PRESIDENT GROVER CLEVELAND,SCULPTURE,BUST,WHITE MARBLE BUST ON POLISHED WHITE MARBLE BASE WITH BRONZE PLAQUE,false,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/CLEVELAND%20BUST.HTML,UNKNOWN,,,,,,,30,24,12,,42,12,"12",,,1ST FLOOR CITY HALL,65 NIAGARA SQUARE,BUFFALO,"14202",NY,42.886641,-78.879354,"(42.886641, -78.879354)",Central,1.0000000000000000000000000000000
MAYOR LOUIS P FUHRMANN,PAINTINGS,PORTRAIT,OIL ON CANVAS,true,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/LOUIS%20FUHRMANN.HTML,OTTO H SCHNEIDER,,,,,,01/01/1992 12:00:00 AM,27,22,,,,,,,,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,"14202",NY,42.886641,-78.879354,"(42.886641, -78.879354)",Central,1.0000000000000000000000000000000
KEEPERS OF THE WESTERN DOOR,DECORATIVE OBJECTS,PLAQUE,LIMESTONE BRONZE,false,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/KEEPERS%20OF%20THE%20WESTERN%20DOOR.HTML,KENNETH PAYNE,,,,,CARSON WATERMAN,01/01/1995 12:00:00 AM,24,60,12,,30,72,"36",,"THIS MONUMENT IS DEDICATED TO THE ONODOWAGA OR PEOPLE OF THE MANY HILLS (SENECA). SHOWN ARE THE HIAWATHA WAMPUM AGREEMENT WHICH BROUGHT TOGETHER THE FIVE NATIONS IN THE PURSUIT OF PEACE, SENECA TRADITIONAL GASTOWA OR HEADDRESS SIGNIFIED BY THE ONE UPRIGHT FEATHER, A SENECA WOMEN'S NOMINATING BELT (LOWER LEFT) BROUGHT OUT WHEN THE WOMEN HAD REACHED CONSENSUS ON A LEADER OR AN IMPORTANT DECISION. THE MEDALLION PRESENTED TO RED JACKET BY GEORGE WASHINGTON IN 1792 TO SIGNIFY THE PEACE BETWEEN THE FIVE NATIONS AND THE COLONIES AND A PRE-COLUMBIAN COOKING POT USED BY THE PEOPLE OF THE FIVE NATIONS.",ERIE BASIN MARINA,329 ERIE ST,BUFFALO,"14202",NY,42.884454,-78.890315,"(42.884454, -78.890315)",Central,1.0000000000000000000000000000000
AMERICAN AND CANADIAN FLAG,DECORATIVE OBJECTS,PLAQUE,BRONZE,false,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/AMERICAN-CANADIAN%20FLAG%20PLAQUE.HTML,UNKNOWN,,,,,,08/30/1986 12:00:00 AM,,,,,,,,,"MAY THESE FLAGS ALWAYS FLOAT IN THEIR MAJESTIC GLORY. THESE FLAGS AND FLAGPOLES FLYING THE UNITED STATES FLAG AND THE CANADIAN FLAG ARE PRESENTED AND MAINTAINED BY THE AMVETS HANK NOWAK POST NO. 45 AND AUXILIARY. PRESENTED THIS 30TH DAY OF AUGUST 1986. ACCEPTED BY THE HONORABLE JAMES D. GRIFFIN, MAYOR OF THE CITY OF BUFFALO.",NIAGARA SQUARE,NIAGARA SQUARE,BUFFALO,"14202",NY,42.886627,-78.878551,"(42.886627, -78.878551)",Central,1.0000000000000000000000000000000
MAYOR EDGAR B JEWETT,PAINTINGS,PORTRAIT,OIL ON CANVAS,true,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/EDGAR%20JEWETT.HTML,RAPHAEL BECK,,,,,,01/01/1989 12:00:00 AM,42.125,34,,,,,,,,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,"14202",NY,42.886641,-78.879354,"(42.886641, -78.879354)",Central,1.0000000000000000000000000000000
EDEN,SCULPTURE,FIGURATIVE,BRONZE SCULPTURE,false,UNKNOWN,JUDITH SHEA,,,,,,01/01/1987 12:00:00 AM,,,,,,,,,,STREET TRIANGLE MEDIAN,ELMWOOD AVE & BIDWELL AVE,BUFFALO,"14222",NY,42.924102,-78.876858,"(42.924102, -78.876858)",Elmwood Bidwell,7.0000000000000000000000000000000
MAYOR BERNARD J DOWD,PAINTINGS,PORTRAIT,OIL ON CANVAS,true,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/BERNARD%20DOWD.HTML,UNKNOWN,,,,,,,24,20,,,,,,,,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,"14202",NY,42.886641,-78.879354,"(42.886641, -78.879354)",Central,1.0000000000000000000000000000000
SISTER CITIES GIFTS,DECORATIVE OBJECTS,VARIOUS,MIXED MEDIA,false,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,"14202",NY,42.886641,-78.879354,"(42.886641, -78.879354)",Central,1.0000000000000000000000000000000
MAYOR JAMES D GRIFFIN,PAINTINGS,PORTRAIT,OIL ON CANVAS,true,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/JAMES%20GRIFFIN.HTML,MARY SMITH,,,,,,01/01/1994 12:00:00 AM,42,32,,,,,,,,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,"14202",NY,42.886641,-78.879354,"(42.886641, -78.879354)",Central,1.0000000000000000000000000000000
CITY SCENE,PAINTINGS,ABSTRACT,MIXED MEDIA,true,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/CITY%20SCENE.HTML,JAMES G PAPPAS,,,,,,01/01/1997 12:00:00 AM,,,,,,,,,,1417 CITY HALL,65 NIAGARA SQUARE,BUFFALO,"14202",NY,42.886641,-78.879354,"(42.886641, -78.879354)",Central,1.0000000000000000000000000000000
FOUR FREEDOMS MEMORIAL,SCULPTURE,RELIEF,STONE,false,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/FOUR%20FREEDOMS.HTML,UNKNOWN,,,,,,,,,,,57,30,"24",,"FREEDOM OF SPEECH, FREEDOM OF RELIGION, FREEDOM FROM WANT, FREEDOM FROM FEAR",MARTIN LUTHER KING JR. PARK,FILLMORE AVE,BUFFALO,"14211",NY,42.904977,-78.839682,"(42.904977, -78.839682)",MLK Park,22.0000000000000000000000000000000
CAZENOVIA PARK FIREMEN'S MEMORIAL,SCULPTURE,FIGURATIVE,GRANITE,false,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/CAZENOVIA%20PARK%20FIREMEN'S%20MEMORIAL.HTML,UNKNOWN,,,,,,,81,69,18,,12,84,"24",,"GREATER LOVE HATH NO MAN THAN THIS, THAT A MAN LAY DOWN HIS LIFE FOR HIS FRIENDS - JOHN 15:13. IN MEMORY OF THOSE WHO GAVE THEIR LIVES ON DECEMBER 27, 1983 (FOLLOWED BY THE NAMES AND AGES OF 5 FIREMEN KILLED IN THE LINE OF DUTY).",CAZENOVIA PARK,REDJACKET PKWY,BUFFALO,"14220",NY,42.846737,-78.810073,"(42.846737, -78.810073)",South Park,35.0000000000000000000000000000000
COUNCIL PRESIDENT DELMAR MITCHELL,PAINTINGS,PORTRAIT,OIL ON CANVAS,true,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/DELMAR%20MITCHELL.HTML,JOAN HARASTY,,,,,,01/01/1985 12:00:00 AM,30,24,,,,,,,,COUNCIL CHAMBER CITY HALL,65 NIAGARA SQUARE,BUFFALO,"14202",NY,42.886641,-78.879354,"(42.886641, -78.879354)",Central,1.0000000000000000000000000000000
BIRDS EXCITED INTO FLIGHT,SCULPTURE,FIGURATIVE,COLD ROLLED STEEL,false,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/BIRDS.HTML,LARRY W GRIFFIS JR,,ASHFORD HOLLOW FOUNDATION,,,ASHFORD HOLLOW FOUNDATION,01/01/1981 12:00:00 AM,240,120,,,,,,"120",SCULPTURE BY GRIFFIS,STREET MEDIAN,BIDWELL PKWY,BUFFALO,"14222",NY,42.923861,-78.876438,"(42.923861, -78.876438)",Elmwood Bidwell,7.0000000000000000000000000000000
BISON,SCULPTURE,FIGURATIVE,BRONZE,false,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/BISON.HTML,CECILIA EVANS TAYLOR,,MODERN ART FOUNDRY,,,MODERN ART FOUNDRY,01/01/1975 12:00:00 AM,21,8.04,21,,48,30,"36",,"'BISON' BY CECILIA EVANS TAYLOR ERECTED 1975 AS A BICENTENNIAL PROJECT DEDICATED TO THE CITIZENS OF BUFFALO, N.Y. AND TO THE CITIZENS OF HER SISTER CITY, KANAZAWA, JAPAN, WHERE THE ORIGINAL BISON STATUE IS LOCATED. PLACEMENT OF THIS STATUE HAS BEEN MADE POSSIBLE THROUGH THE FORSYTHE FUND AND THE CITY OF BUFFALO PARKS DEPARTMENT. STANLEY M. MAKOWSKI, MAYOR, ROBERT C. PENN COMMISSIONER OF PARKS.",FIVE FLAGS PARK,S DIVISION ST,BUFFALO,"14203",NY,42.883027,-78.874999,"(42.883027, -78.874999)",Central,1.0000000000000000000000000000000
FREDERIC CHOPIN,SCULPTURE,BUST,BRONZE,false,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/CHOPIN.HTML,JOSEPH C MAZUR,,,,,,06/11/1925 12:00:00 AM,30,12,12,,108,60,"60",,CHOPIN BORN IN POLAND 1810-1849 PRESENTED TO THE CITY OF BUFFALO BY CHOPIN SINGING SOCIETY JUNE 1925,PORTER AVE,PORTER AVE & RICHMOND AVE,BUFFALO,"14201",NY,42.902439,-78.882941,"(42.902439, -78.882941)",West Side,4.0000000000000000000000000000000
SOUTH BUFFALO,PAINTINGS,ABSTRACT,WATERCOLOR ON PAPER,true,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/SOUTH%20BUFFALO.HTML,DAVID PRATT,,,,,,01/01/1997 12:00:00 AM,,,,,,,,,,1417 CITY HALL,65 NIAGARA SQUARE,BUFFALO,"14202",NY,42.886641,-78.879354,"(42.886641, -78.879354)",Central,1.0000000000000000000000000000000
MAYOR GEORGE W CLINTON,PAINTINGS,PORTRAIT,OIL ON CANVAS,true,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/GEORGE%20CLINTON.HTML,L G SELLSTEDT,,,,,,01/01/1899 12:00:00 AM,36,29,,,,,,,,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,"14202",NY,42.886641,-78.879354,"(42.886641, -78.879354)",Central,1.0000000000000000000000000000000
URBAN BUILDING RENDERING,GRAPHIC ARTS,DRAWING,PAPER,false,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,6TH FLOOR CITY HALL,65 NIAGARA SQUARE,BUFFALO,"14202",NY,42.886641,-78.879354,"(42.886641, -78.879354)",Central,1.0000000000000000000000000000000
JOHN MAYNARD,DECORATIVE OBJECTS,PLAQUE,BRONZE,false,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/JOHN%20MAYNARD%20PLAQUE.HTML,ERICA L DODRES AND JEFF SLOMBA,,,,,,09/27/1997 12:00:00 AM,,,,,,,,,"THE BUFFALO-DORTMUND SISTER CITY COMMITTEE HONORS THE LEGEND OF JOHN MAYNARD, SUNY AT BUFFALO CASTING INSTITUTE - DESIGNER: ERICA L. DODRES, RELIEF SCULPTURES: JEFF SLOMBA. SEPTEMBER 27, 1997",ERIE BASIN MARINA,330 ERIE ST,BUFFALO,"14202",NY,42.884454,-78.890315,"(42.884454, -78.890315)",Central,1.0000000000000000000000000000000
PRESIDENT MILLARD FILLMORE,PAINTINGS,PORTRAIT,OIL ON CANVAS,true,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/MILLARD%20FILLMORE.HTML,EDWARD REIGEL,,,,,,01/01/1939 12:00:00 AM,30,24,,,,,,,,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,"14202",NY,42.886641,-78.879354,"(42.886641, -78.879354)",Central,1.0000000000000000000000000000000
MAYOR THOMAS L HOLLING,PAINTINGS,PORTRAIT,OIL ON CANVAS,true,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/THOMAS%20HOLLING.HTML,B GORDON,,,,,,,24.0625,20,,,,,,,,2ND FLOOR STORAGE CITY HALL,65 NIAGARA SQUARE,BUFFALO,"14202",NY,42.886641,-78.879354,"(42.886641, -78.879354)",Central,1.0000000000000000000000000000000
